Link,Judul,Kecamatan,Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-besar-dan-bagus-di-pusat-kota-bandung-172188355873/,Rumah besar dan bagus di pusat kota bandung,Antapani,2,6,6,400,236,Rp5.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-minimalis-di-sayap-sari-jadi-bandung-utara-172187337448/,Rumah minimalis di sayap sari jadi bandung utara,Antapani,1,2,2,50,138,Rp1.600.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/cluster-el-dorado-setiabudhi-bandung-utara-mewah-m-172180505914/,"Cluster El Dorado Setiabudhi - Bandung Utara, Mewah, Murah, Jarang Ada",Antapani,,9,5,500,830,Rp7.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/cluster-sanggar-kencana-soekarno-hatta-bandung-kot-172179597116/,"Cluster Sanggar Kencana - Soekarno Hatta Bandung Kota, Murah",Antapani,,3,3,170,149,Rp990.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/sayap-dago-dekat-itb-bandung-kota-siap-huni-murah-172179481516/,"Sayap Dago dekat ITB - Bandung Kota, Siap Huni, Murah",Antapani,,3,3,200,140,Rp2.300.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/turangga-buahbatu-bandung-kota-dekat-taman-siap-hu-172179199664/,"Turangga Buahbatu Bandung Kota, Dekat Taman, Siap Huni, Murah",Antapani,,4,3,210,310,Rp3.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-baru-bagus-siap-huni-di-area-sudirman-andir-172164084656/,Rumah Baru Bagus Siap Huni Di Area Sudirman Andir Kota Bandung SHM,Antapani,1,3,2,61,81,Rp1.050.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/diskon-300jt-rumah-dago-nuansa-villa-akses-jl-leba-172163925065/,Diskon 300jt rumah dago nuansa villa akses jl lebar,Antapani,2,3,3,115,116,Rp2.349.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/diskon-300jt-rumah-dago-nuansa-villa-akses-jl-leba-172163916847/,Diskon 300jt rumah dago nuansa villa akses jl lebar,Antapani,1,3,2,114,115,Rp2.349.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-baru-luas-di-buah-batu-cijagra-bandung-172163642138/,Rumah baru luas di buah batu cijagra bandung,Antapani,2,4,3,120,120,Rp2.450.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/cocok-untuk-yang-suka-liburan-diluar-kota-bisa-dij-172163296345/,Cocok Untuk Yang Suka Liburan Diluar Kota Bisa Dijadikan Rumah Singgah,Antapani,,3,4,250,84,Rp1.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/miliki-sekarang-juga-rumah-mewah-dikawasan-yang-ad-172163225064/,Miliki Sekarang Juga Rumah Mewah Dikawasan Yang Adem Dan Asri,Antapani,,5,4,300,533,Rp7.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-tengah-kota-bandung-jl-terate-kosambi-strate-172156700476/,rumah tengah kota bandung jl terate kosambi strategis,Antapani,,10,6,788,906,Rp12.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-dijual-di-jalan-riau-kota-bandung-rumah-siap-172154530762/,RUMAH DIJUAL DI JALAN RIAU KOTA BANDUNG RUMAH SIAP HUNI TERAWAT JUAL,Antapani,,5,3,250,292,Rp7.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-terawat-sayap-riau-bandung-kota-7-kt-172154497016/,Dijual Rumah Terawat Sayap Riau Bandung Kota 7 KT 3KM Jual,Antapani,,7,3,130,208,Rp6.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-untuk-usaha-mainroad-sayap-riau-dekat-kawasa-172154463443/,"Rumah Untuk Usaha, Mainroad Sayap Riau Dekat Kawasan Bisnis Kosambi",Antapani,,7,5,250,170,Rp5.750.000.000
